,image_id,frame_number,original_label
0,5a0b016f-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
1,5a217843-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
2,598de824-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
3,59be3ee3-23d2-11e8-a6a3-ec086b02610b.jpg,2,rodent
4,59673655-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
5,599a5a64-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
6,59a17d7f-23d2-11e8-a6a3-ec086b02610b.jpg,1,rodent
7,59c8031c-23d2-11e8-a6a3-ec086b02610b.jpg,1,opossum
8,5971fb64-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
9,59c80528-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
10,59ccd2b3-23d2-11e8-a6a3-ec086b02610b.jpg,1,rodent
11,5a116d59-23d2-11e8-a6a3-ec086b02610b.jpg,2,rabbit
12,59aadbcf-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
13,59c4bfa5-23d2-11e8-a6a3-ec086b02610b.jpg,3,fox
14,5a062f10-23d2-11e8-a6a3-ec086b02610b.jpg,2,bird
15,59a49a6d-23d2-11e8-a6a3-ec086b02610b.jpg,2,bird
16,59fe2293-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
17,598c5c32-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
18,59e919e9-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
19,59e2a419-23d2-11e8-a6a3-ec086b02610b.jpg,1,rodent
20,59adfc97-23d2-11e8-a6a3-ec086b02610b.jpg,3,bird
21,59d27ccc-23d2-11e8-a6a3-ec086b02610b.jpg,1,squirrel
22,59b616de-23d2-11e8-a6a3-ec086b02610b.jpg,2,bird
23,59cb382f-23d2-11e8-a6a3-ec086b02610b.jpg,1,bird
24,59eaba8a-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
25,59929052-23d2-11e8-a6a3-ec086b02610b.jpg,2,rabbit
26,598de771-23d2-11e8-a6a3-ec086b02610b.jpg,3,raccoon
27,5a1cb10c-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
28,59fe2349-23d2-11e8-a6a3-ec086b02610b.jpg,5,lizard
29,59bca646-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
30,59ccd2a7-23d2-11e8-a6a3-ec086b02610b.jpg,1,cat
31,59f947d4-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
32,59973d74-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
33,59e9194d-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
34,59edf1e3-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
35,59f2c274-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
36,59b482bb-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
37,59c99e27-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
38,59da8b5a-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
39,59ffbaa6-23d2-11e8-a6a3-ec086b02610b.jpg,2,bird
40,59eab755-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
41,598f7796-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
42,59af9700-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
43,5968c171-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
44,59f946dd-23d2-11e8-a6a3-ec086b02610b.jpg,1,bobcat
45,59da8a38-23d2-11e8-a6a3-ec086b02610b.jpg,1,bobcat
46,59b4835d-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
47,59df5dc8-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
48,59894220-23d2-11e8-a6a3-ec086b02610b.jpg,1,bird
49,59ccd2ca-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
50,59d8eca6-23d2-11e8-a6a3-ec086b02610b.jpg,3,badger
51,59d0e4f6-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
52,5a0fd0f9-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
53,59641fcf-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
54,5976a4e9-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
55,5968bf72-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
56,5a2c857f-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
57,5a130abd-23d2-11e8-a6a3-ec086b02610b.jpg,1,bobcat
58,5968bf7b-23d2-11e8-a6a3-ec086b02610b.jpg,2,coyote
59,5a0fd160-23d2-11e8-a6a3-ec086b02610b.jpg,2,rodent
60,59d27c48-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
61,598306fb-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
62,596d6501-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
63,59817b91-23d2-11e8-a6a3-ec086b02610b.jpg,2,rodent
64,59bac970-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
65,59b7a8a8-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
66,59b483d9-23d2-11e8-a6a3-ec086b02610b.jpg,2,bird
67,5994213c-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
68,59f2c40b-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
69,59973e03-23d2-11e8-a6a3-ec086b02610b.jpg,2,cat
70,59641fdd-23d2-11e8-a6a3-ec086b02610b.jpg,3,squirrel
71,59f79bcc-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
72,59aadbc2-23d2-11e8-a6a3-ec086b02610b.jpg,1,rodent
73,59be409e-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
74,59a62b98-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
75,5a2c84e4-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
76,597b4848-23d2-11e8-a6a3-ec086b02610b.jpg,1,bobcat
77,59d5b76b-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
78,59b616ce-23d2-11e8-a6a3-ec086b02610b.jpg,2,rodent
79,5a1e502b-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
80,59e4403a-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
81,599d7ee5-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
82,59f5ff11-23d2-11e8-a6a3-ec086b02610b.jpg,3,fox
83,59d75158-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
84,59e5df09-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
85,59bca425-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
86,59af96bd-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
87,59aadc1d-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
88,59e91a19-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
89,5965ab6e-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
90,59fc7d50-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
91,5a062fc3-23d2-11e8-a6a3-ec086b02610b.jpg,3,raccoon
92,5a29652d-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
93,59b13148-23d2-11e8-a6a3-ec086b02610b.jpg,1,dog
94,5a0631ea-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
95,5a1309da-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
96,5a29631d-23d2-11e8-a6a3-ec086b02610b.jpg,1,bird
97,5a0c9d01-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
98,59e1057f-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
99,5a27d8bc-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
100,59c66a81-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
101,5976a2d9-23d2-11e8-a6a3-ec086b02610b.jpg,3,bobcat
102,59a94d95-23d2-11e8-a6a3-ec086b02610b.jpg,1,bobcat
103,59e102cf-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
104,59c31a33-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
105,59e1058c-23d2-11e8-a6a3-ec086b02610b.jpg,1,bird
106,5998cc72-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
107,597b49d9-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
108,5a24a7e7-23d2-11e8-a6a3-ec086b02610b.jpg,1,rodent
109,5a24a6d2-23d2-11e8-a6a3-ec086b02610b.jpg,3,skunk
110,599104d0-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
111,59862417-23d2-11e8-a6a3-ec086b02610b.jpg,1,skunk
112,59f12969-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
113,598942b0-23d2-11e8-a6a3-ec086b02610b.jpg,3,rodent
114,59e91afd-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
115,59c99c69-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
116,597e6343-23d2-11e8-a6a3-ec086b02610b.jpg,3,rodent
117,59d7544e-23d2-11e8-a6a3-ec086b02610b.jpg,1,rodent
118,59d0e471-23d2-11e8-a6a3-ec086b02610b.jpg,2,rodent
119,59e5e077-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
120,5995af8f-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
121,59929081-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
122,5998cd03-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
123,59b12f73-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
124,5979bb34-23d2-11e8-a6a3-ec086b02610b.jpg,2,coyote
125,59d8ee4c-23d2-11e8-a6a3-ec086b02610b.jpg,2,rodent
126,5a17df7c-23d2-11e8-a6a3-ec086b02610b.jpg,1,fox
127,59cf4580-23d2-11e8-a6a3-ec086b02610b.jpg,1,squirrel
128,59830675-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
129,59f79b5c-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
130,5a1b1630-23d2-11e8-a6a3-ec086b02610b.jpg,2,raccoon
131,59a62939-23d2-11e8-a6a3-ec086b02610b.jpg,3,squirrel
132,59f945c5-23d2-11e8-a6a3-ec086b02610b.jpg,2,bird
133,5a0b012e-23d2-11e8-a6a3-ec086b02610b.jpg,3,bird
134,59f2c41a-23d2-11e8-a6a3-ec086b02610b.jpg,1,bobcat
135,5975154b-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
136,59b7a9c9-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
137,59c4c0f7-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
138,5a14a6aa-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
139,597386cd-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
140,5a197ada-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
141,5a130a82-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
142,59c4c19a-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
143,59aadab5-23d2-11e8-a6a3-ec086b02610b.jpg,3,opossum
144,59adfc19-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
145,5a27da97-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
146,59817b0a-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
147,5967378b-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
148,5968c022-23d2-11e8-a6a3-ec086b02610b.jpg,1,raccoon
149,59b12f93-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
150,597b46d7-23d2-11e8-a6a3-ec086b02610b.jpg,1,coyote
151,59fc8034-23d2-11e8-a6a3-ec086b02610b.jpg,3,fox
152,59bca6d6-23d2-11e8-a6a3-ec086b02610b.jpg,1,dog
153,5a063115-23d2-11e8-a6a3-ec086b02610b.jpg,3,rabbit
154,5a130a41-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
155,5a2c8504-23d2-11e8-a6a3-ec086b02610b.jpg,1,bobcat
156,59df5cb2-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
157,599293d4-23d2-11e8-a6a3-ec086b02610b.jpg,1,rabbit
158,59f46206-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
159,59e4412c-23d2-11e8-a6a3-ec086b02610b.jpg,2,rabbit
160,59929396-23d2-11e8-a6a3-ec086b02610b.jpg,1,deer
161,59b12e88-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
162,59fe2267-23d2-11e8-a6a3-ec086b02610b.jpg,2,deer
163,598308cd-23d2-11e8-a6a3-ec086b02610b.jpg,3,bird
164,5a231103-23d2-11e8-a6a3-ec086b02610b.jpg,3,fox
165,59fae57b-23d2-11e8-a6a3-ec086b02610b.jpg,3,deer
166,59a17bcc-23d2-11e8-a6a3-ec086b02610b.jpg,2,rodent
